Date,Cruise,Road,Aviation,All,Year,Month,Quarter,Period ,Data Status
1/1/2013,16000,90000,545812,651812,2013,1,1,Pre_Covid,Actual
2/1/2013,20000,88000,462476,570476,2013,2,1,Pre_Covid,Actual
3/1/2013,21000,91000,475366,587366,2013,3,1,Pre_Covid,Actual
4/1/2013,19571,90211,504137,613919,2013,4,2,Pre_Covid,Actual
5/1/2013,20403,113746,424602,558751,2013,5,2,Pre_Covid,Actual
6/1/2013,21568,100067,445656,567291,2013,6,2,Pre_Covid,Actual
7/1/2013,18947,132990,506388,658325,2013,7,3,Pre_Covid,Actual
8/1/2013,11489,139237,525993,676719,2013,8,3,Pre_Covid,Actual
9/1/2013,18578,138059,458190,614827,2013,9,3,Pre_Covid,Actual
10/1/2013,8289,142088,478318,628695,2013,10,4,Pre_Covid,Actual
11/1/2013,5658,138582,586794,731034,2013,11,4,Pre_Covid,Actual
12/1/2013,9758,146370,566221,722349,2013,12,4,Pre_Covid,Actual
1/1/2014,7642,150451,618081,776174,2014,1,1,Pre_Covid,Actual
2/1/2014,15241,179552,647233,842026,2014,2,1,Pre_Covid,Actual
3/1/2014,5658,120837,583230,709725,2014,3,1,Pre_Covid,Actual
4/1/2014,5956,133692,606332,745980,2014,4,2,Pre_Covid,Actual
5/1/2014,4781,138056,531367,674204,2014,5,2,Pre_Covid,Actual
6/1/2014,1370,101685,436721,539776,2014,6,2,Pre_Covid,Actual
7/1/2014,2000,114012,448724,564736,2014,7,3,Pre_Covid,Actual
8/1/2014,1500,97553,519535,618588,2014,8,3,Pre_Covid,Actual
9/1/2014,1800,114418,474663,590881,2014,9,3,Pre_Covid,Actual
10/1/2014,795,151004,407203,559002,2014,10,4,Pre_Covid,Actual
11/1/2014,562,115867,492188,608617,2014,11,4,Pre_Covid,Actual
12/1/2014,1287,136579,519438,657304,2014,12,4,Pre_Covid,Actual
1/1/2015,6883,131926,561883,700692,2015,1,1,Pre_Covid,Actual
2/1/2015,7021,138145,610834,756000,2015,2,1,Pre_Covid,Actual
3/1/2015,9245,70096,538554,617895,2015,3,1,Pre_Covid,Actual
4/1/2015,6142,149791,534507,690440,2015,4,2,Pre_Covid,Actual
5/1/2015,1551,116559,458758,576868,2015,5,2,Pre_Covid,Actual
6/1/2015,4113,106156,419176,529445,2015,6,2,Pre_Covid,Actual
7/1/2015,1958,83148,508460,593566,2015,7,3,Pre_Covid,Actual
8/1/2015,1360,53466,610159,664985,2015,8,3,Pre_Covid,Actual
9/1/2015,3323,144929,478072,626324,2015,9,3,Pre_Covid,Actual
